Comment,Designator,Footprint,LCSC
".1uF","C1","Capacitor_SMD:C_0805_2012Metric",""
"100uF","C2","Capacitor_SMD:C_1206_3216Metric",""
"D","D1","Diode_SMD:D_0805_2012Metric",""
"S2JTR","D2","Diode_SMD:D_SMB",""
"1A","F1","Fuses:RST 1-BULK",""
"2.5A","F2","Fuses:RST 1-BULK",""
"Fuse","F3","Fuse:Fuseholder_Blade_Mini_Keystone_3568",""
"AC In","J1","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",""
"AC Out","J2","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",""
"DC In","J3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",""
"DC Out","J4","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",""
"F_PH","J5","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"FINDER-36.11","K1","Relay_THT:Relay_SPDT_Finder_36.11",""
"ATOM P1","P1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"ATOM P2","P2","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"HLK-PM01","PS1","AC_DC:Converter_ACDC_HiLink_HLK-PMxx",""
"2N7002","Q1","Package_TO_SOT_SMD:SOT-23",""
"100k","R1","Resistor_SMD:R_0805_2012Metric",""
"1k","R2","Resistor_SMD:R_0805_2012Metric",""
"Varistor","RV1","Varistor:RV_Disc_D9mm_W3.4mm_P5mm",""
"74AHC1G125","U1,U2","Package_TO_SOT_SMD:SOT-23-5",""